title,content,helpful,unhelpful,product_url
Amazing for the price!,"These earbuds are really good for just about $100, punchy and deep bass is really good and aound quality is very rich. Some fine tuning in the app definitely can make a difference. Call quality is also excellent and people can hear me clearly. The easy switching between noise canceling and pass through is a breeze and can make hearing others while listening to music a simple push of a button.",1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Sony’s Bang for the Buck!,"If you are a millennial, you might remember the Brand Sony for their stereos and walkmans. These cheap Bluetooth active noise cancelling TWS earphones remind me of that simple era.

They are compatible with an iphone but their true potential of auto connection is explored by an Android device.

They fit my large ears perfectly for that Noise cancelling seal. Smaller ear people might need to change the buds to a different size provided.

Noise cancelling is as good as the expensive ones. They do dull out the back ground hum of an airplane. Do not expect the performance of the fruit brand. Keep in mind the price you are paying and the value you are getting at this price point.

Best Buy has the best offers. Keep checking and you might hit the discount pot.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Impressive earbuds,"Excellent earbuds. Purchased this recently as my phone no longer supported my wired earbuds, and was instantly converted to the side of wireless earbuds. They fit my earholes perfectly and stay in during workouts, the sound is good with a nice option to use noise cancelling or let ambient noise in, and the batter life is great. No complaints.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
"GREAT SOUND, PRICE, AND COMFORTABLE","These sound really good out of the box but the app makes them way better. They also really comfortable i feel like i could sleep with them. The noise cancelling is pretty good too. They sound better than the beats for around the same price ,the beats over time will develop a problem that causes the left earbud to stop charging and is a know issue apple won't do anything about it...lets see if how sony holds up over time.",1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Decent wireless ear buds,"This is a DECENT pair of headphones ear buds considering the price. They work well indoors when on the phone, outside not so great. The noise canceling feature is fickle. I like the add ins that come with the device: the different size ear buds cushions, small USB cord, and charging case. Sound quality for music is great and it’s adequate for hands free. 4 out of 5 hands down.",0,1,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Threw out my AirPods 2nd gen !!,I love them. You can actually adjust the sound to these by just downloading the app. I love the fit as well better fit then my AirPods 2nd gen honestly. They don’t slip out of my ear. Also you can adjust noise cancellation by just a click. This item is a must have !!,1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Great budget earbuds.,"These are great for a budget the active noise canceling is good enough. 
The pros is if you have a Sony Xperia phone the seamless integration is really cool. On the side sense you can see the Sony WF-7OON, on the information displaying like sitting and moving with adjusting the equalizer. These are very light earbuds compared to Sony flagship models that were very heavy and felt like they would fall off my ears. The active noise canceling does not provide good aware mode so often I cannot hear my colleagues talking to me or when I am driving my car I cannot hear the flow of traffic, I need some good earbuds that offer a way to adapt to local surroundings.
What are the cons on these earbuds are the battery case life capacity is 12 hours. Not very long in the earbuds world. I was surprised to see that the case has depleted it reserves after me using these earbuds for 2 days in a work environment of about 4 hours per day.",2,3,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
I would recommend,Decent for the price. My only gripe is the physical buttons. I constantly press them when I reposition the earbuds. Though overall a good product,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Works great,Work great so far had them for going on 6months now,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
10/10,"Great fit and feel. Works amazing for while I'm at work walking, really cancels out the noise around me.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
"Great sound, but fit could be better","For the price the sound quality is amazing as well as the noise cancellation. However, the right earbud does not fit into my right ear canal and is uncomfortable. This could be just because my ear is shaped weird, but it still hurts my enjoyment of the product.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Size and Hearing,I like my music LOUD. would rather have my airpods lol. and it doesnt stay in my ear well.,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Thanks sony.,I highly recommend this earbuds the are amazing if i need ill buy them again.,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Sony head phone,"The headphones have a great functionality. Sounds quality is good, I really enjoyed use them to have phone call or watch the video.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Decent Purchase,"Good sound quality. The right earbud controls the music, and the left earbud controls the ambient setting to enable environmental surround sound and phone calls. The case and earbud materials feel airy and somewhat cheap compared to the Samsung buds, but it's still a good buy.",1,1,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Headphones,"I love them, they are so good. They have cancelation",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Great gift,The color selection and great and the noice cancelation convinced with the audio quality is next level.,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Amazing earbuds held back by just the tips,"Excellent sound that are five star worthy, but these are held back by the ear tips they come with. Uncomfortable and aren't secure at all if you've got small ear canals like me. If you replace them (I went with comply), the sound quality at this price point is easily top tier. These are especially good because of Sony's excellent headphones app, that let's you EQ just how you like.

Oh and I love the color!",1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
Probably the best for the price.,"All in all these are really good earbuds, Sony always does a pretty good job. Got to say though, I bought my son a pair of Sennheiser momentum 3.... And after I heard them I was kind of jealous the base was so punchy and the mids and the highs showed through.  Are they worth twice the price? Yes if you're a bass head. If you're not a bass head maybe not so much.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
"EXCELLENT earbuds, would highly recommend","Excellent earbuds; call quality, audio sound, and battery life. Would highly recommend and would buy again.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A
The Beeping is Annoying,"I’d say great but every time I move and or sit down there’s a beep, I know it’s because it basically is to show that it understands when you go from standing to sitting or standing still but when you’re trying to listen to music while you work the constant beeping just gets in the way",1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A&pageSize=20&sku=6538256&sort=BEST_REVIEW&variant=A&page=2
SONY earbuds,"These are very good and nice earbuds. The battery is amazing, even though I use them every day, at the Gym.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A&pageSize=20&sku=6538256&sort=BEST_REVIEW&variant=A&page=2
Amazing,Honestly did not suspect like to be crazy good but these headphones are the best for the prize the sound is amazing great headi,1,1,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A&pageSize=20&sku=6538256&sort=BEST_REVIEW&variant=A&page=2
Good earphones,"I think they're really good, especially for the price. I've tried airpods and these are alot better.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A&pageSize=20&sku=6538256&sort=BEST_REVIEW&variant=A&page=2
